股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300223,北京君正,79.79,-0.6,-0.75,-12.79,6140250,482171106.62,4.84,2315.213,0,37419706187
SZ000066,中国长城,18.56,-0.14,-0.75,-2.26,57288933,1058981234,1.96,74.957,0.469,54347058904
SZ000692,惠天热电,2.65,-0.02,-0.75,-8.93,2184700,5808833,0.41,,0,1412007386
SH688586,江航装备,29.08,-0.22,-0.75,-6.34,2388747,69752099,2.71,65.819,,11740889100
SZ000995,皇台酒业,23.8,-0.18,-0.75,-25.39,15455876,359697071.66,8.71,49.003,0,4222310400
SZ000036,华联控股,3.97,-0.03,-0.75,-0.25,3559129,14160930.45,0.24,7.949,10.076,5891218079
SH688135,利扬芯片,39.69,-0.3,-0.75,-7.5,1517462,60595317,5.48,87.944,,5413716000
SZ300020,银江股份,7.87,-0.06,-0.76,-4.61,8023265,63477901.12,1.28,35.734,0.381,5161060107
SH600617,国新能源,3.93,-0.03,-0.76,-16.2,3537300,13947795,0.36,,0,4262728310
SZ300556,丝路视觉,18.31,-0.14,-0.76,-6.68,2575700,47186182,2.92,36.114,0.273,2160155666
SH601811,新华文轩,9.1,-0.07,-0.76,0.11,832300,7567794,0.11,9.759,3.297,11227953100
SZ002543,万和电气,7.82,-0.06,-0.76,-6.35,2528653,19759039.86,0.4,9.971,4.22,5814952000
SZ002500,山西证券,7.8,-0.06,-0.76,-12.85,25412776,198416296.75,0.71,38.959,1.01,28000218067
SH600508,上海能源,9.1,-0.07,-0.76,-10.26,7352775,66873826,1.02,12.925,2.626,6576733800
SH601086,国芳集团,3.93,-0.03,-0.76,-7.53,1636900,6426600,0.25,35.804,2.545,2617380000
SH600345,长江通信,17.08,-0.13,-0.76,-3.28,1171700,19987844,0.59,45.192,0.585,3381840000
SZ002078,太阳纸业,15.63,-0.12,-0.76,8.32,41088937,638047919.05,1.57,19.772,0.632,41031069601
SH603367,辰欣药业,13.13,-0.1,-0.76,-5.61,1241253,16332445,0.28,13.882,2.041,5952524890
SZ002776,柏堡龙,5.2,-0.04,-0.76,-0.57,9599585,49801553.58,1.78,15.399,0.731,2797543351
SZ300240,飞力达,5.19,-0.04,-0.76,-8.63,3899614,20259889.38,1.08,68.243,0.385,1897255103
SZ300177,中海达,10.46,-0.08,-0.76,0.87,14590514,152224421.61,2.85,,0,7137865518
SH601011,宝泰隆,3.9,-0.03,-0.76,-8.02,33780226,131105882,2.1,387.902,0,6258748848
SH603839,安正时尚,9.02,-0.07,-0.77,-8.52,797460,7189182,0.2,22.904,7.775,3608922024
