,date,open,close,high,low,volume,code
1052,2019-04-29,945.0,971.97,989.0,935.0,52572.0,600519
1053,2019-04-30,968.0,974.0,984.96,963.11,35943.0,600519
1054,2019-05-06,925.5,906.0,935.0,893.0,135099.0,600519
1055,2019-05-07,893.28,890.0,913.94,870.22,100837.0,600519
1056,2019-05-08,860.0,884.4,901.8,860.0,81882.0,600519
1057,2019-05-09,875.0,858.81,879.87,842.5,91545.0,600519
1058,2019-05-10,875.66,907.12,910.78,868.19,79907.0,600519
1059,2019-05-13,898.86,892.0,910.98,884.0,46637.0,600519
1060,2019-05-14,885.0,886.57,906.0,873.0,59983.0,600519
1061,2019-05-15,890.24,927.0,933.0,890.24,63124.0,600519
1062,2019-05-16,919.0,929.91,932.0,905.0,44540.0,600519
1063,2019-05-17,927.02,906.79,932.3,900.1,49841.0,600519
1064,2019-05-20,900.0,884.96,900.0,871.0,44407.0,600519
1065,2019-05-21,885.0,895.0,910.0,872.02,42385.0,600519
1066,2019-05-22,894.98,888.0,904.0,880.0,32041.0,600519
1067,2019-05-23,881.0,861.0,883.98,856.22,58058.0,600519
1068,2019-05-24,865.0,878.5,885.0,864.44,44034.0,600519
1069,2019-05-27,879.1,879.0,882.99,860.05,39161.0,600519
1070,2019-05-28,877.99,888.0,907.49,875.02,74772.0,600519
1071,2019-05-29,888.01,911.91,924.95,888.01,65646.0,600519
1072,2019-05-30,910.0,905.3,919.99,891.22,40247.0,600519
1073,2019-05-31,900.53,890.0,906.99,890.0,35793.0,600519
1074,2019-06-03,892.0,892.0,901.35,886.28,34479.0,600519
1075,2019-06-04,895.0,875.3,895.43,871.0,39689.0,600519
1076,2019-06-05,884.0,871.6,886.26,870.0,34067.0,600519
1077,2019-06-06,875.62,862.13,875.77,858.0,34786.0,600519
1078,2019-06-10,857.98,871.08,878.95,840.0,55502.0,600519
1079,2019-06-11,876.0,910.89,915.61,875.0,80106.0,600519
1080,2019-06-12,906.22,906.7,910.99,894.0,37747.0,600519
1081,2019-06-13,910.0,910.0,912.3,897.0,32917.0,600519
1082,2019-06-14,911.0,913.0,932.3,910.02,42455.0,600519
1083,2019-06-17,907.0,911.6,926.94,906.02,32769.0,600519
1084,2019-06-18,917.0,917.0,920.0,902.6,29441.0,600519
1085,2019-06-19,940.0,932.01,946.7,932.01,53726.0,600519
1086,2019-06-20,932.5,975.0,975.5,932.2,67271.0,600519
1087,2019-06-21,969.97,976.3,984.49,964.5,45926.0,600519
1088,2019-06-24,978.3,987.1,999.69,975.0,45779.0,600519
1089,2019-06-25,992.0,982.98,999.0,967.0,51295.0,600519
1090,2019-06-26,985.0,979.86,985.0,971.22,29588.0,600519
1091,2019-06-27,985.0,996.35,1001.0,981.12,47978.0,600519
1092,2019-06-28,985.99,984.0,988.88,971.33,31088.0,600519
1093,2019-07-01,1004.52,1031.86,1035.6,1000.22,52337.0,600519
1094,2019-07-02,1025.0,1025.0,1029.5,1016.0,39061.0,600519
1095,2019-07-03,1020.0,987.9,1023.0,981.5,67139.0,600519
1096,2019-07-04,985.8,981.2,990.8,971.22,46216.0,600519
1097,2019-07-05,986.0,999.82,1006.0,976.3,50032.0,600519
1098,2019-07-08,995.05,984.86,997.9,975.0,33613.0,600519
1099,2019-07-09,979.3,976.06,989.0,968.35,31723.0,600519
1100,2019-07-10,980.93,982.52,990.58,977.0,28166.0,600519
1101,2019-07-11,989.96,981.5,998.38,976.0,30514.0,600519
1102,2019-07-12,981.3,986.09,991.5,980.01,28173.0,600519
1103,2019-07-15,967.8,975.93,980.1,951.13,59870.0,600519
1104,2019-07-16,975.45,968.0,982.3,965.0,33245.0,600519
1105,2019-07-17,968.0,963.5,972.99,962.13,25468.0,600519
1106,2019-07-18,961.5,947.5,963.0,947.18,39252.0,600519
1107,2019-07-19,955.0,955.87,960.8,948.0,28014.0,600519
1108,2019-07-22,960.0,957.02,964.0,950.25,28125.0,600519
1109,2019-07-23,962.3,953.98,962.59,943.86,32483.0,600519
1110,2019-07-24,958.31,946.36,959.9,944.69,46771.0,600519
1111,2019-07-25,945.97,963.0,963.36,938.15,38255.0,600519
1112,2019-07-26,961.97,965.03,971.0,958.55,26467.0,600519
1113,2019-07-29,962.03,976.41,979.5,960.01,26981.0,600519
1114,2019-07-30,976.5,978.93,983.0,971.0,19537.0,600519
1115,2019-07-31,975.0,972.6,981.77,966.59,22526.0,600519
1116,2019-08-01,976.51,959.3,977.0,953.02,35089.0,600519
1117,2019-08-02,944.0,954.45,957.98,943.0,39719.0,600519
1118,2019-08-05,945.0,942.43,954.0,940.0,36774.0,600519
1119,2019-08-06,931.0,946.3,948.0,923.8,43991.0,600519
1120,2019-08-07,949.5,945.0,955.53,945.0,26869.0,600519
1121,2019-08-08,953.5,971.68,974.0,952.0,38808.0,600519
1122,2019-08-09,978.5,962.03,980.95,958.99,28461.0,600519
1123,2019-08-12,1010.31,1018.63,1020.1,995.01,81498.0,600519
1124,2019-08-13,1016.16,1017.95,1026.0,1010.68,30329.0,600519
1125,2019-08-14,1030.02,1043.33,1051.9,1030.02,41410.0,600519
1126,2019-08-15,1028.0,1044.9,1046.48,1028.0,27237.0,600519
1127,2019-08-16,1049.84,1054.6,1075.58,1041.0,36086.0,600519
1128,2019-08-19,1061.0,1055.88,1069.98,1049.05,32867.0,600519
1129,2019-08-20,1055.0,1070.0,1073.68,1050.0,28602.0,600519
1130,2019-08-21,1070.1,1066.0,1076.97,1061.66,25066.0,600519
1131,2019-08-22,1072.99,1104.0,1104.0,1070.0,37590.0,600519
1132,2019-08-23,1105.0,1130.1,1133.56,1095.62,40192.0,600519
1133,2019-08-26,1113.0,1102.95,1128.0,1096.68,48497.0,600519
1134,2019-08-27,1117.0,1109.0,1131.31,1109.0,52164.0,600519
1135,2019-08-28,1109.0,1100.11,1123.19,1083.01,47009.0,600519
1136,2019-08-29,1105.0,1113.1,1118.18,1092.5,29330.0,600519
1137,2019-08-30,1125.0,1142.0,1146.0,1123.0,44890.0,600519
1138,2019-09-02,1139.99,1138.76,1144.98,1129.0,28234.0,600519
1139,2019-09-03,1140.0,1140.0,1151.02,1128.56,29485.0,600519
1140,2019-09-04,1140.8,1125.01,1142.91,1120.11,33600.0,600519
1141,2019-09-05,1129.0,1144.0,1144.9,1128.0,32930.0,600519
1142,2019-09-06,1144.5,1142.49,1146.15,1131.0,26176.0,600519
1143,2019-09-09,1145.0,1136.52,1148.0,1135.0,29379.0,600519
1144,2019-09-10,1134.3,1123.85,1135.0,1120.01,26227.0,600519
1145,2019-09-11,1119.22,1069.52,1119.97,1068.0,81716.0,600519
1146,2019-09-12,1066.0,1099.0,1109.98,1066.0,41211.0,600519
1147,2019-09-16,1083.0,1099.0,1103.95,1083.0,31371.0,600519
1148,2019-09-17,1094.0,1094.01,1106.66,1087.0,25196.0,600519
1149,2019-09-18,1108.5,1148.9,1150.0,1108.18,69314.0,600519
1150,2019-09-19,1148.0,1145.0,1150.0,1137.1,24479.0,600519
1151,2019-09-20,1151.0,1157.42,1160.0,1147.59,37626.0,600519
1152,2019-09-23,1157.0,1149.0,1157.0,1131.0,30026.0,600519
1153,2019-09-24,1155.0,1184.0,1184.9,1152.0,36269.0,600519
